Age,Height,Weight,Team,Year,City,Event,Medal
19.0,160.0,48.0,East Germany,1972,Munich,Gymnastics Women's Individual All-Around,---
25.0,165.0,55.0,Germany,2008,Beijing,Gymnastics Women's Individual All-Around,---
18.0,153.0,48.0,Israel,1960,Roma,Gymnastics Women's Individual All-Around,---
22.0,148.0,46.0,Japan,1960,Roma,Gymnastics Women's Individual All-Around,---
26.0,148.0,46.0,Japan,1964,Tokyo,Gymnastics Women's Individual All-Around,---
16.0,150.0,40.0,Romania,2008,Beijing,Gymnastics Women's Individual All-Around,---
18.0,162.0,56.0,Sweden,1960,Roma,Gymnastics Women's Individual All-Around,---
17.0,153.0,38.0,Sweden,2012,London,Gymnastics Women's Individual All-Around,---
16.0,162.0,56.0,Sweden,1980,Moskva,Gymnastics Women's Individual All-Around,---
20.0,162.0,56.0,Sweden,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
16.0,158.0,48.0,Russia,2008,Beijing,Gymnastics Women's Individual All-Around,---
16.0,148.0,40.0,Romania,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
17.0,159.0,50.0,Ukraine,2004,Athina,Gymnastics Women's Individual All-Around,---
23.0,163.0,55.0,Italy,1972,Munich,Gymnastics Women's Individual All-Around,---
22.0,156.0,52.0,Cuba,1968,Mexico City,Gymnastics Women's Individual All-Around,---
21.0,167.0,67.0,Bulgaria,1964,Tokyo,Gymnastics Women's Individual All-Around,---
16.0,157.0,46.0,Australia,1988,Seoul,Gymnastics Women's Individual All-Around,---
20.0,157.0,46.0,Australia,1992,Barcelona,Gymnastics Women's Individual All-Around,---
15.0,148.0,40.0,Hungary,1980,Moskva,Gymnastics Women's Individual All-Around,---
18.0,157.0,52.0,Great Britain,1972,Munich,Gymnastics Women's Individual All-Around,---
18.0,162.0,45.0,Portugal,1980,Moskva,Gymnastics Women's Individual All-Around,---
19.0,155.0,59.0,Panama,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
16.0,158.0,44.0,Romania,1996,Atlanta,Gymnastics Women's Individual All-Around,Bronze
20.0,158.0,44.0,Romania,2000,Sydney,Gymnastics Women's Individual All-Around,Gold
18.0,155.0,47.0,Mexico,1972,Munich,Gymnastics Women's Individual All-Around,---
17.0,151.0,46.0,Brazil,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
16.0,158.0,54.0,Norway,1972,Munich,Gymnastics Women's Individual All-Around,---
15.0,150.0,39.0,Greece,2004,Athina,Gymnastics Women's Individual All-Around,---
20.0,159.0,56.0,Poland,1964,Tokyo,Gymnastics Women's Individual All-Around,---
17.0,162.0,49.0,Canada,1972,Munich,Gymnastics Women's Individual All-Around,---
21.0,162.0,49.0,Canada,1976,Montreal,Gymnastics Women's Individual All-Around,---
16.0,160.0,32.0,Spain,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
20.0,166.0,56.0,Soviet Union,1956,Melbourne,Gymnastics Women's Individual All-Around,---
23.0,166.0,56.0,Soviet Union,1960,Roma,Gymnastics Women's Individual All-Around,Bronze
27.0,166.0,56.0,Soviet Union,1964,Tokyo,Gymnastics Women's Individual All-Around,Bronze
24.0,166.0,62.0,Bulgaria,1968,Mexico City,Gymnastics Women's Individual All-Around,---
17.0,154.0,49.0,France,1976,Montreal,Gymnastics Women's Individual All-Around,---
14.0,160.0,50.0,France,1972,Munich,Gymnastics Women's Individual All-Around,---
18.0,160.0,50.0,France,1976,Montreal,Gymnastics Women's Individual All-Around,---
19.0,164.0,51.0,Finland,1960,Roma,Gymnastics Women's Individual All-Around,---
15.0,155.0,43.0,South Korea,1988,Seoul,Gymnastics Women's Individual All-Around,---
26.0,162.0,56.0,France,1964,Tokyo,Gymnastics Women's Individual All-Around,---
16.0,152.0,39.0,Soviet Union,1988,Seoul,Gymnastics Women's Individual All-Around,---
23.0,157.0,49.0,Yugoslavia,1968,Mexico City,Gymnastics Women's Individual All-Around,---
26.0,157.0,49.0,Yugoslavia,1972,Munich,Gymnastics Women's Individual All-Around,---
17.0,163.0,50.0,Hungary,1992,Barcelona,Gymnastics Women's Individual All-Around,---
14.0,153.0,47.0,Hungary,1992,Barcelona,Gymnastics Women's Individual All-Around,---
18.0,153.0,47.0,Hungary,1996,Atlanta,Gymnastics Women's Individual All-Around,---
18.0,139.0,36.0,Romania,2004,Athina,Gymnastics Women's Individual All-Around,---
21.0,159.0,52.0,Hungary,1968,Mexico City,Gymnastics Women's Individual All-Around,---
17.0,158.0,52.0,Canada,2004,Athina,Gymnastics Women's Individual All-Around,---
17.0,151.0,45.0,Brazil,2008,Beijing,Gymnastics Women's Individual All-Around,---
25.0,151.0,45.0,Brazil,2016,Rio de Janeiro,Gymnastics Women's Individual All-Around,---
20.0,160.0,54.0,Poland,1972,Munich,Gymnastics Women's Individual All-Around,---
18.0,154.0,42.0,Poland,1972,Munich,Gymnastics Women's Individual All-Around,---
18.0,163.0,64.0,Czechoslovakia,1992,Barcelona,Gymnastics Women's Individual All-Around,---
15.0,163.0,52.0,Australia,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
16.0,145.0,40.0,France,1988,Seoul,Gymnastics Women's Individual All-Around,---
18.0,158.0,43.0,East Germany,1968,Mexico City,Gymnastics Women's Individual All-Around,---
18.0,154.0,50.0,Cuba,1968,Mexico City,Gymnastics Women's Individual All-Around,---
18.0,157.0,41.0,Australia,1980,Moskva,Gymnastics Women's Individual All-Around,---
15.0,155.0,43.0,Switzerland,1972,Munich,Gymnastics Women's Individual All-Around,---
17.0,155.0,48.0,Canada,2000,Sydney,Gymnastics Women's Individual All-Around,---
17.0,157.0,51.0,Luxembourg,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,163.0,50.0,West Germany,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
19.0,151.0,51.0,Australia,1964,Tokyo,Gymnastics Women's Individual All-Around,---
15.0,164.0,50.0,Switzerland,1984,Los Angeles,Gymnastics Women's Individual All-Around,---
14.0,166.0,55.0,Hungary,1968,Mexico City,Gymnastics Women's Individual All-Around,---
18.0,166.0,55.0,Hungary,1972,Munich,Gymnastics Women's Individual All-Around,---
15.0,151.0,41.0,Spain,1988,Seoul,Gymnastics Women's Individual All-Around,---
23.0,144.0,40.0,Great Britain,1968,Mexico City,Gymnastics Women's Individual All-Around,---
18.0,158.0,38.0,France,2008,Beijing,Gymnastics Women's Individual All-Around,---
25.0,157.0,52.0,Israel,1960,Roma,Gymnastics Women's Individual All-Around,---
20.0,164.0,52.0,Hungary,1960,Roma,Gymnastics Women's Individual All-Around,---
19.0,164.0,58.0,Austria,1960,Roma,Gymnastics Women's Individual All-Around,---
18.0,163.0,53.0,Italy,2008,Beijing,Gymnastics Women's Individual All-Around,---
16.0,152.0,44.0,Italy,2000,Sydney,Gymnastics Women's Individual All-Around,---
20.0,152.0,44.0,Italy,2004,Athina,Gymnastics Women's Individual All-Around,---
24.0,152.0,44.0,Italy,2008,Beijing,Gymnastics Women's Individual All-Around,---
