Age,Height,Weight,Team,Year,City,Event,Medal
24.0,190.0,85.0,Uzbekistan,2008,Beijing,Tennis Women's Singles,---
26.0,175.0,64.0,Estonia,2008,Beijing,Tennis Women's Singles,---
20.0,169.0,60.0,Belgium,1992,Barcelona,Tennis Women's Singles,---
24.0,169.0,60.0,Belgium,1996,Atlanta,Tennis Women's Singles,---
28.0,169.0,60.0,Belgium,2000,Sydney,Tennis Women's Singles,---
24.0,176.0,69.0,Sweden,2008,Beijing,Tennis Women's Singles,---
28.0,176.0,69.0,Sweden,2012,London,Tennis Women's Singles,---
24.0,168.0,58.0,Japan,2000,Sydney,Tennis Women's Singles,---
28.0,168.0,58.0,Japan,2004,Athina,Tennis Women's Singles,---
19.0,183.0,60.0,Belarus,2008,Beijing,Tennis Women's Singles,---
22.0,183.0,60.0,Belarus,2012,London,Tennis Women's Singles,Bronze
19.0,179.0,68.0,Hungary,2012,London,Tennis Women's Singles,---
23.0,179.0,68.0,Hungary,2016,Rio de Janeiro,Tennis Women's Singles,---
19.0,170.0,62.0,Switzerland,2008,Beijing,Tennis Women's Singles,---
27.0,170.0,62.0,Switzerland,2016,Rio de Janeiro,Tennis Women's Singles,---
28.0,175.0,70.0,Great Britain,2012,London,Tennis Women's Singles,---
28.0,174.0,64.0,Austria,2008,Beijing,Tennis Women's Singles,---
16.0,176.0,60.0,Belarus,1996,Atlanta,Tennis Women's Singles,---
20.0,176.0,60.0,Belarus,2000,Sydney,Tennis Women's Singles,---
22.0,185.0,75.0,Germany,2012,London,Tennis Women's Singles,---
20.0,168.0,54.0,Canada,1988,Seoul,Tennis Women's Singles,---
17.0,165.0,55.0,Indonesia,1988,Seoul,Tennis Women's Singles,---
21.0,165.0,55.0,Indonesia,1992,Barcelona,Tennis Women's Singles,---
25.0,165.0,55.0,Indonesia,1996,Atlanta,Tennis Women's Singles,---
22.0,170.0,59.0,Germany,2016,Rio de Janeiro,Tennis Women's Singles,---
17.0,171.0,52.0,Czech Republic,2000,Sydney,Tennis Women's Singles,---
21.0,181.0,67.0,Romania,2012,London,Tennis Women's Singles,---
25.0,181.0,67.0,Romania,2016,Rio de Janeiro,Tennis Women's Singles,---
21.0,170.0,56.0,Czech Republic,2004,Athina,Tennis Women's Singles,---
25.0,170.0,56.0,Czech Republic,2008,Beijing,Tennis Women's Singles,---
22.0,169.0,63.0,Israel,1988,Seoul,Tennis Women's Singles,---
24.0,182.0,69.0,Netherlands,2016,Rio de Janeiro,Tennis Women's Singles,---
21.0,167.0,55.0,Zimbabwe,2000,Sydney,Tennis Women's Singles,---
25.0,167.0,55.0,Zimbabwe,2004,Athina,Tennis Women's Singles,---
