Age,Height,Weight,Team,Year,City,Event,Medal
28.0,175.0,64.0,Finland,1948,London,Gymnastics Men's Individual All-Around,Bronze
32.0,175.0,64.0,Finland,1952,Helsinki,Gymnastics Men's Individual All-Around,---
23.0,167.0,64.0,Spain,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
22.0,167.0,63.0,Egypt,2000,Sydney,Gymnastics Men's Individual All-Around,---
20.0,159.0,64.0,Portugal,1968,Mexico City,Gymnastics Men's Individual All-Around,---
25.0,173.0,64.0,Bulgaria,1964,Tokyo,Gymnastics Men's Individual All-Around,---
29.0,173.0,64.0,Bulgaria,1968,Mexico City,Gymnastics Men's Individual All-Around,---
26.0,168.0,67.0,West Germany,1988,Seoul,Gymnastics Men's Individual All-Around,---
21.0,154.0,53.0,Japan,1956,Melbourne,Gymnastics Men's Individual All-Around,---
25.0,154.0,53.0,Japan,1960,Roma,Gymnastics Men's Individual All-Around,---
21.0,156.0,55.0,Japan,1992,Barcelona,Gymnastics Men's Individual All-Around,---
21.0,162.0,54.0,Yemen,2008,Beijing,Gymnastics Men's Individual All-Around,---
20.0,172.0,66.0,Bulgaria,1992,Barcelona,Gymnastics Men's Individual All-Around,---
19.0,171.0,63.0,Iceland,1996,Atlanta,Gymnastics Men's Individual All-Around,---
23.0,171.0,63.0,Iceland,2000,Sydney,Gymnastics Men's Individual All-Around,---
27.0,171.0,63.0,Iceland,2004,Athina,Gymnastics Men's Individual All-Around,---
21.0,173.0,64.0,United States,1968,Mexico City,Gymnastics Men's Individual All-Around,---
21.0,165.0,65.0,Italy,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
25.0,165.0,65.0,Italy,1988,Seoul,Gymnastics Men's Individual All-Around,---
21.0,166.0,63.0,Russia,2000,Sydney,Gymnastics Men's Individual All-Around,---
24.0,167.0,62.0,Italy,1984,Los Angeles,Gymnastics Men's Individual All-Around,---
24.0,166.0,62.0,Germany,2004,Athina,Gymnastics Men's Individual All-Around,---
28.0,166.0,62.0,Germany,2008,Beijing,Gymnastics Men's Individual All-Around,---
19.0,166.0,60.0,Soviet Union,1972,Munich,Gymnastics Men's Individual All-Around,---
23.0,166.0,60.0,Soviet Union,1976,Montreal,Gymnastics Men's Individual All-Around,Gold
27.0,166.0,60.0,Soviet Union,1980,Moskva,Gymnastics Men's Individual All-Around,Silver
23.0,162.0,71.0,Italy,2004,Athina,Gymnastics Men's Individual All-Around,---
27.0,162.0,71.0,Italy,2008,Beijing,Gymnastics Men's Individual All-Around,---
24.0,169.0,64.0,Yugoslavia,1968,Mexico City,Gymnastics Men's Individual All-Around,---
22.0,169.0,63.0,Hungary,1964,Tokyo,Gymnastics Men's Individual All-Around,---
26.0,169.0,63.0,Hungary,1968,Mexico City,Gymnastics Men's Individual All-Around,---
23.0,178.0,68.0,Turkey,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
22.0,169.0,69.0,Great Britain,1972,Munich,Gymnastics Men's Individual All-Around,---
24.0,168.0,63.0,Israel,2012,London,Gymnastics Men's Individual All-Around,---
18.0,165.0,54.0,Cuba,1980,Moskva,Gymnastics Men's Individual All-Around,---
23.0,167.0,63.0,Soviet Union,1988,Seoul,Gymnastics Men's Individual All-Around,Gold
25.0,172.0,71.0,France,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
21.0,170.0,55.0,United States,1972,Munich,Gymnastics Men's Individual All-Around,---
25.0,170.0,55.0,United States,1976,Montreal,Gymnastics Men's Individual All-Around,---
22.0,165.0,63.0,France,1996,Atlanta,Gymnastics Men's Individual All-Around,---
27.0,174.0,72.0,Soviet Union,1956,Melbourne,Gymnastics Men's Individual All-Around,---
31.0,174.0,72.0,Soviet Union,1960,Roma,Gymnastics Men's Individual All-Around,---
22.0,175.0,68.0,Soviet Union,1980,Moskva,Gymnastics Men's Individual All-Around,---
24.0,157.0,53.0,Czechoslovakia,1980,Moskva,Gymnastics Men's Individual All-Around,---
26.0,171.0,63.0,Switzerland,1976,Montreal,Gymnastics Men's Individual All-Around,---
24.0,167.0,60.0,Bulgaria,1960,Roma,Gymnastics Men's Individual All-Around,---
28.0,167.0,60.0,Bulgaria,1964,Tokyo,Gymnastics Men's Individual All-Around,---
24.0,175.0,76.0,Cuba,1972,Munich,Gymnastics Men's Individual All-Around,---
