Age,Height,Weight,Team,Year,City,Event,Medal
26.0,180.0,80.0,United States,1996,Atlanta,Tennis Men's Singles,Gold
23.0,180.0,79.0,Haiti,1988,Seoul,Tennis Men's Singles,---
31.0,180.0,79.0,Haiti,1996,Atlanta,Tennis Men's Singles,---
19.0,185.0,85.0,Morocco,1992,Barcelona,Tennis Men's Singles,---
27.0,185.0,85.0,Morocco,2000,Sydney,Tennis Men's Singles,---
26.0,175.0,70.0,Moldova,2016,Rio de Janeiro,Tennis Men's Singles,---
30.0,187.0,84.0,Bermuda,1988,Seoul,Tennis Men's Singles,---
18.0,180.0,64.0,India,1988,Seoul,Tennis Men's Singles,---
22.0,180.0,84.0,Spain,2008,Beijing,Tennis Men's Singles,---
26.0,180.0,84.0,Spain,2012,London,Tennis Men's Singles,---
24.0,175.0,66.0,Spain,1920,Antwerpen,Tennis Men's Singles,---
28.0,175.0,66.0,Spain,1924,Paris,Tennis Men's Singles,---
34.0,193.0,75.0,India,1988,Seoul,Tennis Men's Singles,---
20.0,195.0,84.0,Croatia,2004,Athina,Tennis Men's Singles,---
22.0,200.0,86.0,South Africa,2008,Beijing,Tennis Men's Singles,---
21.0,182.0,80.0,Russia,2004,Athina,Tennis Men's Singles,---
25.0,182.0,80.0,Russia,2008,Beijing,Tennis Men's Singles,---
22.0,188.0,85.0,Austria,1988,Seoul,Tennis Men's Singles,---
22.0,175.0,65.0,Morocco,1996,Atlanta,Tennis Men's Singles,---
30.0,175.0,65.0,Morocco,2004,Athina,Tennis Men's Singles,---
22.0,180.0,76.0,El Salvador,2008,Beijing,Tennis Men's Singles,---
30.0,182.0,72.0,Peru,1992,Barcelona,Tennis Men's Singles,---
27.0,175.0,74.0,Spain,1992,Barcelona,Tennis Men's Singles,Silver
33.0,191.0,80.0,Australia,2004,Athina,Tennis Men's Singles,---
31.0,191.0,77.0,United States,2016,Rio de Janeiro,Tennis Men's Singles,---
25.0,188.0,87.0,Bosnia and Herzegovina,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,185.0,80.0,Georgia,2016,Rio de Janeiro,Tennis Men's Singles,---
26.0,180.0,72.0,Great Britain,1988,Seoul,Tennis Men's Singles,---
28.0,183.0,76.0,Spain,2016,Rio de Janeiro,Tennis Men's Singles,---
22.0,181.0,75.0,Slovakia,2004,Athina,Tennis Men's Singles,---
24.0,192.0,85.0,Germany,1992,Barcelona,Tennis Men's Singles,---
20.0,187.0,80.0,Brazil,2008,Beijing,Tennis Men's Singles,---
24.0,187.0,80.0,Brazil,2012,London,Tennis Men's Singles,---
28.0,187.0,80.0,Brazil,2016,Rio de Janeiro,Tennis Men's Singles,---
30.0,185.0,79.0,France,2012,London,Tennis Men's Singles,---
26.0,175.0,70.0,Lithuania,2016,Rio de Janeiro,Tennis Men's Singles,---
18.0,195.0,90.0,Czech Republic,2004,Athina,Tennis Men's Singles,---
22.0,195.0,90.0,Czech Republic,2008,Beijing,Tennis Men's Singles,---
26.0,195.0,90.0,Czech Republic,2012,London,Tennis Men's Singles,---
29.0,184.0,81.0,Argentina,2012,London,Tennis Men's Singles,---
24.0,184.0,83.0,Sweden,1996,Atlanta,Tennis Men's Singles,---
32.0,184.0,83.0,Sweden,2004,Athina,Tennis Men's Singles,---
36.0,184.0,83.0,Sweden,2008,Beijing,Tennis Men's Singles,---
26.0,175.0,70.0,Zimbabwe,1996,Atlanta,Tennis Men's Singles,---
22.0,170.0,70.0,Zimbabwe,1996,Atlanta,Tennis Men's Singles,---
26.0,170.0,70.0,Zimbabwe,2000,Sydney,Tennis Men's Singles,---
28.0,185.0,83.0,United States,2008,Beijing,Tennis Men's Singles,---
21.0,171.0,68.0,Israel,1988,Seoul,Tennis Men's Singles,---
25.0,171.0,68.0,Israel,1992,Barcelona,Tennis Men's Singles,---
27.0,183.0,76.0,France,1996,Atlanta,Tennis Men's Singles,---
29.0,178.0,77.0,Russia,2012,London,Tennis Men's Singles,---
22.0,185.0,84.0,Italy,2008,Beijing,Tennis Men's Singles,---
25.0,183.0,76.0,France,1924,Paris,Tennis Men's Singles,---
31.0,196.0,78.0,Germany,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,168.0,64.0,France,1920,Antwerpen,Tennis Men's Singles,---
21.0,188.0,75.0,Spain,1992,Barcelona,Tennis Men's Singles,---
25.0,188.0,75.0,Spain,1996,Atlanta,Tennis Men's Singles,Silver
22.0,188.0,75.0,Australia,1988,Seoul,Tennis Men's Singles,---
27.0,182.0,86.0,Argentina,2004,Athina,Tennis Men's Singles,---
31.0,182.0,86.0,Argentina,2008,Beijing,Tennis Men's Singles,---
20.0,188.0,78.0,Italy,1988,Seoul,Tennis Men's Singles,---
24.0,188.0,78.0,Italy,1992,Barcelona,Tennis Men's Singles,---
30.0,185.0,85.0,Argentina,2008,Beijing,Tennis Men's Singles,---
23.0,180.0,68.0,Italy,1988,Seoul,Tennis Men's Singles,---
22.0,178.0,68.0,Italy,1992,Barcelona,Tennis Men's Singles,---
19.0,192.0,87.0,Denmark,1992,Barcelona,Tennis Men's Singles,---
23.0,192.0,87.0,Denmark,1996,Atlanta,Tennis Men's Singles,---
29.0,188.0,78.0,France,2004,Athina,Tennis Men's Singles,---
26.0,186.0,75.0,Spain,1988,Seoul,Tennis Men's Singles,---
22.0,177.0,75.0,Ireland,1992,Barcelona,Tennis Men's Singles,---
24.0,190.0,74.0,Great Britain,1988,Seoul,Tennis Men's Singles,---
28.0,190.0,74.0,Great Britain,1992,Barcelona,Tennis Men's Singles,---
20.0,175.0,72.0,United States,1992,Barcelona,Tennis Men's Singles,---
28.0,175.0,72.0,United States,2000,Sydney,Tennis Men's Singles,---
26.0,178.0,70.0,Paraguay,1988,Seoul,Tennis Men's Singles,---
21.0,190.0,75.0,Argentina,2000,Sydney,Tennis Men's Singles,---
24.0,190.0,75.0,Argentina,2004,Athina,Tennis Men's Singles,---
18.0,180.0,73.0,Soviet Union,1988,Seoul,Tennis Men's Singles,---
22.0,180.0,73.0,Unified Team,1992,Barcelona,Tennis Men's Singles,Bronze
22.0,188.0,75.0,Soviet Union,1988,Seoul,Tennis Men's Singles,---
26.0,188.0,75.0,Unified Team,1992,Barcelona,Tennis Men's Singles,---
23.0,190.0,82.0,Denmark,1988,Seoul,Tennis Men's Singles,---
19.0,198.0,82.0,Croatia,2008,Beijing,Tennis Men's Singles,---
23.0,198.0,82.0,Croatia,2012,London,Tennis Men's Singles,---
27.0,198.0,82.0,Croatia,2016,Rio de Janeiro,Tennis Men's Singles,---
22.0,172.0,72.0,France,2000,Sydney,Tennis Men's Singles,---
26.0,172.0,72.0,France,2004,Athina,Tennis Men's Singles,---
22.0,187.0,79.0,Canada,1988,Seoul,Tennis Men's Singles,---
19.0,185.0,75.0,Croatia,2016,Rio de Janeiro,Tennis Men's Singles,---
26.0,180.0,70.0,Spain,2000,Sydney,Tennis Men's Singles,---
21.0,180.0,78.0,Spain,1996,Atlanta,Tennis Men's Singles,---
25.0,180.0,78.0,Spain,2000,Sydney,Tennis Men's Singles,---
18.0,183.0,79.0,Spain,1996,Atlanta,Tennis Men's Singles,---
21.0,185.0,82.0,United States,1992,Barcelona,Tennis Men's Singles,---
26.0,190.0,79.0,Great Britain,2000,Sydney,Tennis Men's Singles,---
30.0,180.0,79.0,Uruguay,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,190.0,85.0,Canada,2008,Beijing,Tennis Men's Singles,---
30.0,180.0,79.0,Brazil,2008,Beijing,Tennis Men's Singles,---
23.0,191.0,76.0,Japan,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,178.0,74.0,Belgium,2008,Beijing,Tennis Men's Singles,---
